ID,Grupo,Aleatorizacao,Bloco_Apresentacao,Ordem_Apresentacao,Codigo_Pseudo,Pseudopalavra,Vizinhanca_Fonologica,Vizinhanca_Tonicidade,Tonicidade_Producao,Informante,Tempo_Resposta,Palavra_Alvo,Tonicidade_Alvo,Estrutura_Palavra,Segmento_Modificado,Taxa_Similaridade,Validacao,Taxa_Validacao,Silaba_Modificada,Idade,Genero,Escolaridade,Area_Formacao,Linguas,Musica,Naturalidade
17,2,s,1,17,83,titale,titulo_6,proparoxitona_6,paroxítona,T.A.,3066,título,proparoxítona,CV-CV-CV,vogal,2,n,6,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
18,4,s,1,18,92,socaru,NA,NA,oxítona,T.A.,2742,sucuri,oxítona,CV-CV-CV,vogal,3,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
19,2,s,1,19,22,fedimil,NA,NA,oxítona,T.A.,3021,difícil,paroxítona,CV-CV-CVC,consoante,10,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
20,4,s,1,20,36,mupeval,NA,NA,oxítona,T.A.,2721,funeral,oxítona,CV-CV-CVC,consoante,8,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
21,1,s,1,21,58,fidura,NA,NA,paroxítona,T.A.,3035,figura,paroxítona,CV-CV-CV,consoante,1,q,7,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
22,2,s,1,22,59,carotir,NA,NA,oxítona,T.A.,2822,caráter,paroxítona,CV-CV-CVC,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
23,4,s,1,23,60,pacigo,NA,NA,paroxítona,T.A.,2913,pêssego,proparoxítona,CV-CV-CV,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
24,1,s,1,24,21,pobivel,NA,NA,oxítona,T.A.,4285,possível,paroxítona,CV-CV-CVC,consoante,1,s,9,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
25,2,s,1,25,85,zoteme,NA,NA,paroxítona,T.A.,2657,comitê,oxítona,CV-CV-CV,consoante,10,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
26,4,s,1,26,87,cameder,NA,NA,oxítona,T.A.,2713,comedor,oxítona,CV-CV-CVC,vogal,2,q,3,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
27,1,s,1,27,64,babela,ela_paroxitono_8,paroxitona_10,paroxítona,T.A.,2641,tabela,paroxítona,CV-CV-CV,consoante,2,n,2,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
28,3,s,1,28,51,petafa,NA,NA,paroxítona,T.A.,2398,pétala,proparoxítona,CV-CV-CV,consoante,3,s,8,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
29,3,s,1,29,74,lavevel,NA,NA,oxítona,T.A.,2778,lavável,paroxítona,CV-CV-CVC,vogal,2,s,9,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
30,1,s,1,30,29,nimero,NA,NA,paroxítona,T.A.,5722,número,proparoxítona,CV-CV-CV,vogal,3,s,9,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
31,1,s,1,31,20,numeco,NA,NA,paroxítona,T.A.,3709,número,proparoxítona,CV-CV-CV,consoante,3,s,10,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
32,4,s,1,32,11,lemunor,NA,NA,oxítona,T.A.,2644,liminar,oxítona,CV-CV-CVC,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
33,4,s,1,33,33,juluca,NA,NA,paroxítona,T.A.,2405,jaleco,paroxítona,CV-CV-CV,vogal,3,q,3,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
34,2,s,1,34,70,malutor,NA,NA,paroxítona,T.A.,3599,militar,oxítona,CV-CV-CVC,vogal,3,q,3,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
35,3,s,1,35,68,xafuriz,NA,NA,oxítona,T.A.,3916,chafariz,oxítona,CV-CV-CVC,vogal,3,s,9,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
36,4,s,1,36,24,pucega,NA,NA,paroxítona,T.A.,2221,pêssego,proparoxítona,CV-CV-CV,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
37,4,s,1,37,30,motefor,NA,NA,oxítona,T.A.,2556,comedor,oxítona,CV-CV-CVC,consoante,9,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
38,3,s,1,38,31,nafariz,NA,NA,oxítona,T.A.,3056,chafariz,oxítona,CV-CV-CVC,consoante,2,s,8,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
39,4,s,1,39,75,dapamer,NA,NA,oxítona,T.A.,2929,cadáver,paroxítona,CV-CV-CVC,consoante,6,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
40,4,s,1,40,81,podecor,NA,NA,oxítona,T.A.,3529,comedor,oxítona,CV-CV-CVC,consoante,5,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
41,3,s,1,41,27,secapor,NA,NA,oxítona,T.A.,2745,secador,oxítona,CV-CV-CVC,consoante,2,s,8,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
42,1,s,1,42,88,caraper,NA,NA,oxítona,T.A.,2528,caráter,paroxítona,CV-CV-CVC,consoante,1,s,9,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
43,1,s,1,43,18,neculo,NA,NA,proparoxítona,T.A.,2817,século,proparoxítona,CV-CV-CV,consoante,2,s,8,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
44,4,s,1,44,6,nufilo,NA,NA,paroxítona,T.A.,2229,súbito,proparoxítona,CV-CV-CV,consoante,7,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
45,2,s,1,45,13,conedo,NA,NA,paroxítona,T.A.,2382,canadá,oxítona,CV-CV-CV,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
46,1,s,1,46,53,daretor,NA,NA,oxítona,T.A.,2515,diretor,oxítona,CV-CV-CVC,vogal,1,s,8,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
47,4,s,1,47,34,vunuti,NA,NA,oxítona,T.A.,2356,sucuri,oxítona,CV-CV-CV,consoante,6,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
48,3,s,1,48,40,lavaval,NA,NA,oxítona,T.A.,2702,lavável,paroxítona,CV-CV-CVC,vogal,1,s,8,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
49,3,s,1,49,54,xofariz,NA,NA,oxítona,T.A.,2.25,chafariz,oxítona,CV-CV-CVC,vogal,2,s,10,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
50,2,s,1,50,71,piruno,NA,NA,paroxítona,T.A.,1918,paraná,oxítona,CV-CV-CV,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
51,4,s,1,51,25,dacuga,NA,NA,paroxítona,T.A.,2952,farofa,paroxítona,CV-CV-CV,consoante,10,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
52,4,s,1,52,62,cudivor,NA,NA,oxítona,T.A.,3054,cadáver,paroxítona,CV-CV-CVC,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
53,4,s,1,53,41,luniver,NA,NA,oxítona,T.A.,3311,júpiter,proparoxítona,CV-CV-CVC,consoante,8,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
54,2,s,1,54,3,puceval,NA,NA,oxítona,T.A.,2.57,possível,paroxítona,CV-CV-CVC,vogal,3,q,3,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
55,1,s,1,55,67,curater,NA,NA,paroxítona,T.A.,2798,caráter,paroxítona,CV-CV-CVC,vogal,3,s,10,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
56,2,s,1,56,66,pucido,NA,NA,paroxítona,T.A.,2651,passado,paroxítona,CV-CV-CV,vogal,2,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
57,3,s,1,57,57,cazaver,NA,NA,paroxítona,T.A.,2624,cadáver,paroxítona,CV-CV-CVC,consoante,1,s,10,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
58,4,s,1,58,61,lufipal,NA,NA,oxítona,T.A.,2559,funeral,oxítona,CV-CV-CVC,consoante,10,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
59,1,s,1,59,93,jomite,ite_paroxitono_4,paroxitona_6,paroxítona,T.A.,2491,comitê,oxítona,CV-CV-CV,consoante,3,n,3,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
60,1,s,1,60,17,setodo,NA,NA,proparoxítona,T.A.,2879,método,proparoxítona,CV-CV-CV,consoante,3,q,7,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
61,2,s,1,61,89,dumufo,NA,NA,paroxítona,T.A.,3.21,futuro,paroxítona,CV-CV-CV,consoante,9,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
62,2,s,1,62,19,comato,NA,NA,paroxítona,T.A.,2516,comitê,oxítona,CV-CV-CV,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
63,4,s,1,63,76,lamater,NA,NA,oxítona,T.A.,3.87,cadáver,paroxítona,CV-CV-CVC,consoante,8,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
64,2,s,1,64,47,nagafu,NA,NA,oxítona,T.A.,3246,passado,paroxítona,CV-CV-CV,consoante,10,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
65,3,s,1,65,52,sacala,ada_paroxitono_3,paroxitona_10,paroxítona,T.A.,2702,sacola,paroxítona,CV-CV-CV,vogal,1,n,4,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
66,3,s,1,66,14,cadavar,NA,NA,paroxítona,T.A.,2913,cadáver,paroxítona,CV-CV-CVC,vogal,1,s,10,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
67,3,s,1,67,78,cabure,$cab_7,paroxitona_oxitona_5,paroxítona,T.A.,1998,cabaré,oxítona,CV-CV-CV,vogal,3,n,4,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
68,3,s,1,68,65,patetu,NA,NA,oxítona,T.A.,2.42,pateta,paroxítona,CV-CV-CV,vogal,3,s,9,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
69,2,s,1,69,82,sipivar,NA,NA,oxítona,T.A.,2271,militar,oxítona,CV-CV-CVC,consoante,9,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
70,3,s,1,70,39,camare,$cam_8,paroxitona_6,oxítona,T.A.,2429,cabaré,oxítona,CV-CV-CV,consoante,1,n,0,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
71,3,s,1,71,43,cadiver,NA,NA,paroxítona,T.A.,2244,cadáver,paroxítona,CV-CV-CVC,vogal,3,s,10,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
72,2,s,1,72,12,tepiva,NA,NA,paroxítona,T.A.,2653,medida,paroxítona,CV-CV-CV,consoante,7,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
73,3,s,1,73,37,palevo,NA,NA,paroxítona,T.A.,2276,paletó,oxítona,CV-CV-CV,consoante,3,s,8,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
74,2,s,1,74,28,madoda,NA,NA,paroxítona,T.A.,2213,medida,paroxítona,CV-CV-CV,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
75,4,s,1,75,50,mitoval,NA,NA,oxítona,T.A.,2076,mutável,paroxítona,CV-CV-CVC,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
76,1,s,1,76,4,nataral,NA,NA,oxítona,T.A.,2131,natural,oxítona,CV-CV-CVC,vogal,1,s,8,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
77,4,s,1,78,77,fanirel,NA,NA,oxítona,T.A.,4093,funeral,oxítona,CV-CV-CVC,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
78,3,s,1,79,23,tetala,ela_paroxitono_2,proparoxitona_6,paroxítona,T.A.,2556,pétala,proparoxítona,CV-CV-CV,consoante,1,n,6,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
79,4,s,1,80,15,narebo,NA,NA,paroxítona,T.A.,2293,jaleco,paroxítona,CV-CV-CV,consoante,5,q,3,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
80,4,s,1,81,8,lamofa,NA,NA,paroxítona,T.A.,2.43,farofa,paroxítona,CV-CV-CV,consoante,8,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
81,3,s,1,82,90,tirica,ica_paroxitono_5,paroxitona_9,paroxítona,T.A.,2295,tísica,proparoxítona,CV-CV-CV,consoante,1,n,1,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
82,1,s,1,83,32,fagura,NA,NA,paroxítona,T.A.,2035,figura,paroxítona,CV-CV-CV,vogal,1,s,8,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
83,2,s,1,84,80,mizidil,NA,NA,oxítona,T.A.,2469,difícil,paroxítona,CV-CV-CVC,consoante,6,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
84,3,s,1,85,44,cabara,$caba_6,paroxitona_oxitona_5,paroxítona,T.A.,2314,cabaré,oxítona,CV-CV-CV,vogal,1,n,2,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
85,1,s,1,86,91,picivel,NA,NA,oxítona,T.A.,2099,possível,paroxítona,CV-CV-CVC,vogal,3,q,7,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
86,4,s,1,87,9,sedaco,NA,NA,paroxítona,T.A.,2185,sádica,proparoxítona,CV-CV-CV,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
87,4,s,1,88,46,farefo,farelo_6,paroxitona_10,paroxítona,T.A.,2218,farofa,paroxítona,CV-CV-CV,vogal,2,n,6,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
88,3,s,1,89,5,javala,NA,NA,paroxítona,T.A.,2265,javali,oxítona,CV-CV-CV,vogal,1,s,8,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
89,2,s,1,90,16,lacafa,NA,NA,paroxítona,T.A.,3.21,canadá,oxítona,CV-CV-CV,consoante,9,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
90,4,s,1,91,7,bufimo,NA,NA,paroxítona,T.A.,4008,súbito,proparoxítona,CV-CV-CV,consoante,9,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
91,1,s,1,92,1,namero,NA,NA,paroxítona,T.A.,2411,número,proparoxítona,CV-CV-CV,vogal,3,s,10,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
92,1,s,1,93,69,mepodo,NA,NA,proparoxítona,T.A.,2807,método,proparoxítona,CV-CV-CV,consoante,1,q,7,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
93,2,s,2,1,115,camate,NA,NA,paroxítona,T.A.,3651,comitê,oxítona,CV-CV-CV,vogal,2,q,3,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
94,3,s,2,2,151,tisiba,sem_padrao,paroxitona_5,paroxítona,T.A.,2514,tísica,proparoxítona,CV-CV-CV,consoante,2,n,2,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
95,4,s,2,3,101,luvivol,NA,NA,oxítona,T.A.,2873,lavável,paroxítona,CV-CV-CVC,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
96,2,s,2,4,131,fodural,NA,NA,oxítona,T.A.,1961,federal,oxítona,CV-CV-CVC,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
97,3,s,2,5,180,safapi,NA,NA,oxítona,T.A.,2894,safári,paroxítona,CV-CV-CV,consoante,3,s,8,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
98,1,s,2,6,173,fanada,ada_paroxitono_6,paroxitona_10,paroxítona,T.A.,2018,canadá,oxítona,CV-CV-CV,consoante,2,n,0,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
99,4,s,2,7,137,sicora,NA,NA,proparoxítona,T.A.,2163,sucuri,oxítona,CV-CV-CV,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
100,1,s,2,8,185,nitural,NA,NA,oxítona,T.A.,1939,natural,oxítona,CV-CV-CVC,vogal,3,s,10,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
101,3,s,2,9,150,xafaraz,NA,NA,oxítona,T.A.,2019,chafariz,oxítona,CV-CV-CVC,vogal,1,s,8,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
102,4,s,2,10,106,gumuli,NA,NA,oxítona,T.A.,2.27,sucuri,oxítona,CV-CV-CV,consoante,8,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
103,1,s,2,11,94,pocevel,NA,NA,oxítona,T.A.,1.93,possível,paroxítona,CV-CV-CVC,vogal,2,s,9,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
104,1,s,2,12,140,tafela,NA,NA,paroxítona,T.A.,3343,tabela,paroxítona,CV-CV-CV,consoante,3,s,8,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
105,1,s,2,13,118,cedade,NA,NA,paroxítona,T.A.,1925,cidade,paroxítona,CV-CV-CV,vogal,2,s,10,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
106,3,s,2,14,132,patuta,uCa_paroxitono_8,paroxitona_9,paroxítona,T.A.,2192,pateta,paroxítona,CV-CV-CV,vogal,3,n,2,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
107,4,s,2,15,152,jepatar,NA,NA,oxítona,T.A.,1934,júpiter,proparoxítona,CV-CV-CVC,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
108,1,s,2,17,103,parane,$par_8,paroxitona_7,oxítona,T.A.,2.21,paraná,oxítona,CV-CV-CV,vogal,2,n,2,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
109,2,s,2,18,148,futira,$f(C)Vt_10,paroxitona_9,paroxítona,T.A.,2.29,futuro,paroxítona,CV-CV-CV,vogal,2,n,4,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
110,4,s,2,19,130,zedeno,NA,NA,paroxítona,T.A.,02.09,pêssego,proparoxítona,CV-CV-CV,consoante,6,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
111,1,s,2,20,178,patana,ana_paroxitona_4,paroxitona_9,paroxítona,T.A.,02.07,paraná,oxítona,CV-CV-CV,consoante,2,n,0,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
112,1,s,2,21,186,sevulo,NA,NA,proparoxítona,T.A.,5824,século,proparoxítona,CV-CV-CV,consoante,3,s,9,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
113,4,s,2,22,162,cumile,NA,NA,paroxítona,T.A.,2759,camelô,oxítona,CV-CV-CV,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
114,1,s,2,23,175,copite,$co_7,paroxitona_9,oxítona,T.A.,03.08,comitê,oxítona,CV-CV-CV,consoante,1,n,1,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
115,4,s,2,24,136,daneva,NA,NA,paroxítona,T.A.,2081,mazela,paroxítona,CV-CV-CV,consoante,5,s,1,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
116,4,s,2,25,166,puvebal,NA,NA,oxítona,T.A.,2367,funeral,oxítona,CV-CV-CVC,consoante,6,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
117,3,s,2,26,153,tasica,ic/ta_proparoxitona_7,proparoxitona_7,proparoxítona,T.A.,7719,tísica,proparoxítona,CV-CV-CV,vogal,3,n,0,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
118,3,s,2,27,184,sucola,NA,NA,paroxítona,T.A.,2306,sacola,paroxítona,CV-CV-CV,vogal,3,s,8,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
119,3,s,2,28,124,mutevel,NA,NA,oxítona,T.A.,1967,mutável,paroxítona,CV-CV-CVC,vogal,2,s,10,2,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
120,2,s,2,29,155,tefifa,NA,NA,paroxítona,T.A.,2235,medida,paroxítona,CV-CV-CV,consoante,9,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
121,2,s,2,30,98,dacodo,NA,NA,paroxítona,T.A.,2185,década,proparoxítona,CV-CV-CV,vogal,3,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
122,3,s,2,31,169,secadar,NA,NA,oxítona,T.A.,1977,secador,oxítona,CV-CV-CVC,vogal,1,s,10,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
123,2,s,2,32,147,medoda,NA,NA,paroxítona,T.A.,1942,medida,paroxítona,CV-CV-CV,vogal,2,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
124,3,s,2,33,160,cocegu,NA,NA,oxítona,T.A.,2.11,cócega,proparoxítona,CV-CV-CV,vogal,3,q,7,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
125,3,s,2,34,123,becador,NA,NA,oxítona,T.A.,1927,secador,oxítona,CV-CV-CVC,consoante,3,s,8,1,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
126,2,s,2,35,108,dalapo,NA,NA,oxítona,T.A.,2033,passado,paroxítona,CV-CV-CV,consoante,6,s,2,0,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
127,1,s,2,36,165,dificol,NA,NA,oxítona,T.A.,1.93,difícil,paroxítona,CV-CV-CVC,vogal,2,s,10,3,33,Masculino,Superior Incompleto,Música,nenhuma,violoncelo,São Paulo
